State_Name,Assembly_No,Constituency_No,Year,month,DelimID,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Telangana,1,1,2014,5,4,0,1,KONERU KONAPPA,M,BSP,49033,58,GEN,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,32.41,no,8837,5.84,4.35,AEAP1,State-based Party (Other State),16651,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,2,KAVETI SAMMAIAH,M,TRS,40196,57,GEN,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,26.57,no,13241,8.75,4.35,AEAP4244,State-based Party,8284,TRUE,2,TRS,8284,SIRPUR,TRUE,TRUE,2,FALSE,TRUE,TRUE,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,3,KOKKIRALA PREM SAGAR RAO,M,INC,26955,50,GEN,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,17.82,no,7596,5.02,4.35,AEAP81576,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,4,RAAVI SRINIVAS RAO,M,TDP,19359,40,GEN,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,12.8,yes,14684,9.71,4.35,AEAP4,State-based Party,8300,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,5,M.D RAZI HYDER.,M,MASP,4675,59,GEN,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,3.09,yes,906,0.6,4.35,AEAP5,Local Party,5238,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,6,MOHAMMAD JABBAR KHAN.,M,IND,3769,50,GEN,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,2.49,yes,2013,1.33,4.35,AEAP818400,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,7,None of the Above,,NOTA,1756,,,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,1.16,,142,0.09,4.35,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,8,DURGAM. SHYAM RAO,M,IND,1614,57,SC,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,1.07,yes,351,0.23,4.35,AEAP42990,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,9,MURALI KRISHNA.R.,M,IND,1263,38,GEN,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,0.83,yes,330,0.22,4.35,AEAP9,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,10,M.RAMCHANDER,M,IND,933,54,SC,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,0.62,yes,10,0.01,4.35,AEAP818401,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,11,LENDUGURE MENGAJI PATEL,M,BCUF,923,62,GEN,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,0.61,yes,111,0.07,4.35,AEAP4247,Local Party,1031,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Telangana,1,1,2014,5,4,0,12,SHABBIR HUSSAIN,M,YSRCP,812,38,GEN,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,0.54,yes,0,0,4.35,AEAP12,State-based Party,8615,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Telangana,1,2,2014,5,4,0,1,NALLALA ODELU,M,TRS,64867,50,SC,127721,174748,CHENNUR,SC,ADILABAD,TELANGANA,15,73.09,50.79,no,26164,20.49,2.86,AEAP4272,State-based Party,8284,TRUE,2,TRS,8284,CHENNUR (SC),FALSE,TRUE,3,FALSE,TRUE,TRUE,,,,,,State Assembly Election (AE)
Telangana,1,2,2014,5,4,0,2,GADDAM VINOD,M,INC,38703,57,SC,127721,174748,CHENNUR,SC,ADILABAD,TELANGANA,15,73.09,30.3,no,30824,24.13,2.86,AEAP14,National Party,3482,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
