Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2019,9,HYDERABAD,CHARMINAR,Hafeez bab,1603198,H.B Nagar-VI,51,18,3,70,1,1,31,23,18
2019,9,HYDERABAD,CHARMINAR,Hafeez bab,1603199,H.B Nagar-VII,42,18,4,54,8,2,38,11,15
2019,9,HYDERABAD,CHARMINAR,Hafeez bab,1603203,H.B Nagar-XI,19,4,1,21,1,2,12,7,5
2019,9,HYDERABAD,CHARMINAR,Hafeez bab,1603229,H.B.nagar-AI,46,1,0,47,0,0,23,10,14
2019,9,HYDERABAD,CHARMINAR,Saidabad,1603127,Jawahar nagar,1,0,0,1,0,0,1,0,0
2019,9,KHAMMAM,MADHIRA,MADHIRA 1,2210268,Madhira (Mini),34,1,2,37,0,0,12,9,16
2019,9,KHAMMAM,MADHIRA,YERRUPALEM 1,2210199,Banigandlapadu-II,23,3,1,23,2,2,17,7,3
2019,9,KHAMMAM,MADHIRA,YERRUPALEM 1,2210206,Mamunuru-II,29,5,0,33,0,1,23,10,1
2019,9,KHAMMAM,MADHIRA,YERRUPALEM 1,2210211,Ayyarigudem-II,32,8,0,38,2,0,22,9,9
2019,9,KHAMMAM,MADHIRA,YERRUPALEM 1,2210214,G Gopavaram,0,0,0,0,0,0,0,0,0
2019,9,KHAMMAM,MADHIRA,YERRUPALEM 1,2210217,Narashimhapuram,30,3,2,32,2,1,25,5,5
2019,9,HYDERABAD,CHARMINAR,Hafeez bab,1603057,Moin bagh,62,0,0,62,0,0,31,13,18
2019,9,HYDERABAD,CHARMINAR,Hafeez bab,1603204,H.B Nagar-XII,28,7,1,30,5,1,16,5,15
2019,9,HYDERABAD,CHARMINAR,Hafeez bab,1603233,H.B.nagar-CIII,42,10,2,45,6,3,38,14,2
2019,9,HYDERABAD,CHARMINAR,Saidabad,1603133,Srisai nagar,90,7,0,88,5,4,88,4,5
2019,9,HYDERABAD,CHARMINAR,Saidabad,1603135,Saidabad,28,1,0,28,1,0,10,5,14
