Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2023,9,MANCHERIAL,LUXETTIPET,Dandepalle,1909020,Nelkivenkatapur,94,9,0,102,1,0,87,16,0
2023,9,NIRMAL,MUDHOLE,MUDHOLE,1911010,Mudhole X,68,3,1,71,1,0,65,6,1
2023,9,MULUGU,TADVAI,TADVAI,2103237,Madaram - II,40,3,1,42,1,1,35,8,1
2023,9,MANCHERIAL,LUXETTIPET,Dandepalle,1909043,Lingapur,92,3,0,95,0,0,95,0,0
2023,9,MANCHERIAL,LUXETTIPET,Dandepalle,1909050,Dandepalli -II,49,0,0,49,0,0,45,4,0
2023,9,NIRMAL,MUDHOLE,MUDHOLE,1911013,Mudhole XIII,115,0,0,114,1,0,115,0,0
2023,9,MANCHERIAL,LUXETTIPET,Dandepalle,1909046,Thallapeta -III,27,0,0,27,0,0,27,0,0
2023,9,MANCHERIAL,LUXETTIPET,Dandepalle,1909048,Chinthaplly-III,19,0,0,19,0,0,19,0,0
2023,9,NIRMAL,MUDHOLE,MUDHOLE,1911020,TARODA I,87,7,3,96,1,0,71,12,14
2023,9,MANCHERIAL,LUXETTIPET,Dandepalle,1909047,Korvichelma -II,43,1,0,44,0,0,39,5,0
2023,9,MANCHERIAL,LUXETTIPET,Dandepalle,1909315,Chinthapally-IV,39,1,0,39,1,0,39,1,0
2023,9,MANCHERIAL,LUXETTIPET,Dandepalle,1909010,Jaithaguda,26,0,0,23,3,0,26,0,0
2023,9,NIRMAL,MUDHOLE,MUDHOLE,1911005,Mudhole V,93,0,0,93,0,0,24,69,0
2023,9,MANCHERIAL,LUXETTIPET,Dandepalle,1909014,Thallapeta -I,42,0,0,42,0,0,42,0,0
2023,9,NIRMAL,MUDHOLE,MUDHOLE,1911001,Mudhole I,41,0,0,40,1,0,36,4,1
2023,9,NIRMAL,MUDHOLE,MUDHOLE,1911301,Taroda II,100,4,1,105,0,0,97,3,5
2023,9,MULUGU,TADVAI,TADVAI,2103027,Gangaram - II,4,2,0,6,0,0,4,2,0
2023,9,MULUGU,TADVAI,TADVAI,2103029,Reddy gudem,17,4,1,22,0,0,16,5,1
2023,9,MANCHERIAL,LUXETTIPET,Dandepalle,1909036,Dandepalli -I,48,1,0,48,1,0,43,4,2
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417106,Munnanoor-I,34,9,1,42,2,0,29,12,3
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417123,Buddaram-III,32,0,0,32,0,0,26,5,1
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417107,Munnanoor-II,27,8,1,35,1,0,24,7,5
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417125,Buddaram-V,23,0,0,23,0,0,23,0,0
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417122,Buddaram-II,40,9,2,47,3,1,35,15,1
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417120,Edutla-IV,30,3,0,31,2,0,31,2,0
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417101,Gopalpeta-III,23,0,0,23,0,0,22,1,0
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417104,Tadiparthy-I,64,2,0,66,0,0,65,1,0
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417111,Polkepahad-III,31,0,0,31,0,0,31,0,0
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417218,Chennuru Tanda (Mini),15,0,0,15,0,0,15,0,0
2023,9,WANAPARTHY,WANAPARTHY,Gopalpet,1417103,Gopalpeta-V,26,0,0,26,0,0,26,0,0
